fecha,clasificacion_vuelo,total_rutas
2017-01-01,Cabotaje,99
2017-01-01,Internacional,76
2017-02-01,Cabotaje,98
2017-02-01,Internacional,78
2017-03-01,Cabotaje,86
2017-03-01,Internacional,71
2017-04-01,Cabotaje,83
2017-04-01,Internacional,67
2017-05-01,Cabotaje,78
2017-05-01,Internacional,67
2017-06-01,Cabotaje,75
2017-06-01,Internacional,67
2017-07-01,Cabotaje,89
2017-07-01,Internacional,77
2017-08-01,Cabotaje,82
2017-08-01,Internacional,74
2017-09-01,Cabotaje,87
2017-09-01,Internacional,71
2017-10-01,Cabotaje,91
2017-10-01,Internacional,76
2017-11-01,Cabotaje,86
2017-11-01,Internacional,76
2017-12-01,Cabotaje,95
2017-12-01,Internacional,85
2018-01-01,Cabotaje,88
2018-01-01,Internacional,101
2018-02-01,Cabotaje,91
2018-02-01,Internacional,102
2018-03-01,Cabotaje,98
2018-03-01,Internacional,92
2018-04-01,Cabotaje,88
2018-04-01,Internacional,87
2018-05-01,Cabotaje,88
2018-05-01,Internacional,83
2018-06-01,Cabotaje,88
2018-06-01,Internacional,76
2018-07-01,Cabotaje,102
2018-07-01,Internacional,87
2018-08-01,Cabotaje,94
2018-08-01,Internacional,81
2018-09-01,Cabotaje,103
2018-09-01,Internacional,79
2018-10-01,Cabotaje,106
2018-10-01,Internacional,76
2018-11-01,Cabotaje,102
2018-11-01,Internacional,80
2018-12-01,Cabotaje,104
2018-12-01,Internacional,92
2019-01-01,Cabotaje,105
2019-01-01,Internacional,102
2019-02-01,Cabotaje,104
2019-02-01,Internacional,99
2019-03-01,Cabotaje,103
2019-03-01,Internacional,91
2019-04-01,Cabotaje,98
2019-04-01,Internacional,72
2019-05-01,Cabotaje,96
2019-05-01,Internacional,66
2019-06-01,Cabotaje,95
2019-06-01,Internacional,68
2019-07-01,Cabotaje,98
2019-07-01,Internacional,68
2019-08-01,Cabotaje,99
2019-08-01,Internacional,72
2019-09-01,Cabotaje,104
2019-09-01,Internacional,71
2019-10-01,Cabotaje,100
2019-10-01,Internacional,70
2019-11-01,Cabotaje,99
2019-11-01,Internacional,70
2019-12-01,Cabotaje,99
2019-12-01,Internacional,77
2020-01-01,Cabotaje,105
2020-01-01,Internacional,79
2020-02-01,Cabotaje,101
2020-02-01,Internacional,81
2020-03-01,Cabotaje,100
2020-03-01,Internacional,73
2020-04-01,Cabotaje,2
2020-04-01,Internacional,6
2020-05-01,Cabotaje,6
2020-05-01,Internacional,11
2020-06-01,Cabotaje,3
2020-06-01,Internacional,5
2020-07-01,Cabotaje,1
2020-07-01,Internacional,8
2020-08-01,Cabotaje,3
2020-08-01,Internacional,7
2020-09-01,Cabotaje,6
2020-09-01,Internacional,10
2020-10-01,Cabotaje,12
2020-10-01,Internacional,16
2020-11-01,Cabotaje,39
2020-11-01,Internacional,20
2020-12-01,Cabotaje,41
2020-12-01,Internacional,23
2021-01-01,Cabotaje,49
2021-01-01,Internacional,24
2021-02-01,Cabotaje,50
2021-02-01,Internacional,22
2021-03-01,Cabotaje,84
2021-03-01,Internacional,28
2021-04-01,Cabotaje,79
2021-04-01,Internacional,27
2021-05-01,Cabotaje,76
2021-05-01,Internacional,31
2021-06-01,Cabotaje,65
2021-06-01,Internacional,22
2021-07-01,Cabotaje,72
2021-07-01,Internacional,22
2021-08-01,Cabotaje,75
2021-08-01,Internacional,21
2021-09-01,Cabotaje,78
2021-09-01,Internacional,23
2021-10-01,Cabotaje,72
2021-10-01,Internacional,29
2021-11-01,Cabotaje,82
2021-11-01,Internacional,33
2021-12-01,Cabotaje,84
2021-12-01,Internacional,37
2022-01-01,Cabotaje,90
2022-01-01,Internacional,45
2022-02-01,Cabotaje,90
2022-02-01,Internacional,44
2022-03-01,Cabotaje,94
2022-03-01,Internacional,42
2022-04-01,Cabotaje,98
2022-04-01,Internacional,44
2022-05-01,Cabotaje,96
2022-05-01,Internacional,45
2022-06-01,Cabotaje,99
2022-06-01,Internacional,45
2022-07-01,Cabotaje,106
2022-07-01,Internacional,52
2022-08-01,Cabotaje,107
2022-08-01,Internacional,50
2022-09-01,Cabotaje,96
2022-09-01,Internacional,51
2022-10-01,Cabotaje,103
2022-10-01,Internacional,52
2022-11-01,Cabotaje,106
2022-11-01,Internacional,55
2022-12-01,Cabotaje,111
2022-12-01,Internacional,62
2023-01-01,Cabotaje,116
2023-01-01,Internacional,65
2023-02-01,Cabotaje,112
2023-02-01,Internacional,64
2023-03-01,Cabotaje,117
2023-03-01,Internacional,64
2023-04-01,Cabotaje,111
2023-04-01,Internacional,61
2023-05-01,Cabotaje,100
2023-05-01,Internacional,58
2023-06-01,Cabotaje,106
2023-06-01,Internacional,61
2023-07-01,Cabotaje,110
2023-07-01,Internacional,66
2023-08-01,Cabotaje,110
2023-08-01,Internacional,63
2023-09-01,Cabotaje,107
2023-09-01,Internacional,62
2023-10-01,Cabotaje,112
2023-10-01,Internacional,59
2023-11-01,Cabotaje,112
2023-11-01,Internacional,62
2023-12-01,Cabotaje,112
2023-12-01,Internacional,65
2024-01-01,Cabotaje,111
2024-01-01,Internacional,71
2024-02-01,Cabotaje,112
2024-02-01,Internacional,70
2024-03-01,Cabotaje,108
2024-03-01,Internacional,66
2024-04-01,Cabotaje,108
2024-04-01,Internacional,60
